first_name,last_name,email,sold_at,make,model,value
Kaitlyn,Green,kaitlyngreen@gmail.com,2017-08-12T07:23:49.064+04:00,GMC,Suburban 1500,56709.07818
Jonathan,Parker,jonathanaparker@aol.com,2022-09-20T21:19:00.469+04:00,Volkswagen,Passat,62011.76101
Owen,Rivera,owen55@yahoo.com,2020-12-03T08:08:00.163+04:00,Jeep,Patriot,18597.14575
Rachel,Johnson,r_i_johnson@yahoo.com,2016-05-08T10:03:01.946+04:00,Nissan,Pathfinder,4653.033011
David,Alexander,d.alexander36@gmail.com,2014-08-10T00:15:34.114+04:00,INFINITI,QX,1864.587653
Jack,Cox,jack.r.cox@gmail.com,2021-04-07T05:40:37.553+04:00,Hyundai,Accent,2762.74547
Audrey,Rogers,audrey_rogers@aol.com,2017-09-02T04:09:33.989+04:00,Honda,Odyssey,28976.09067
Steven,Flores,s_flores@rocketmail.com,2010-02-09T14:57:16.835+04:00,GMC,Sierra 2500 HD Crew Cab,66044.79963
Rebecca,Harris,rebecca.harris@yahoo.com,2014-11-17T08:26:02.949+04:00,MAZDA,MPV,4725.747515
Samuel,Carter,sacarter@ymail.com,2012-11-19T07:06:28.976+04:00,MAZDA,MAZDA6,14835.39221
Sebastian,Brown,sebastianrbrown@live.com,2011-11-21T08:41:23.496+04:00,Scion,xB,48801.73068
Anna,Jenkins,anna.jenkins@hotmail.com,2013-02-23T23:19:27.773+04:00,Chevrolet,Trax,36089.80413
Richard,Wright,r_a_wright@rocketmail.com,2011-11-26T17:23:40.445+04:00,Ram,2500 Crew Cab,26297.14065
Robert,Reed,rreed9@live.com,2010-04-24T04:31:01.008+04:00,Bentley,Bentayga,4782.585562
Grace,Stewart,grace@outlook.com,2020-02-28T21:39:03.502+04:00,Nissan,Sentra,87612.92896
Adam,Collins,adammcollins@hotmail.com,2020-02-12T11:35:43.672+04:00,Nissan,Sentra,39248.03288
Danielle,Wright,danielle_elizabeth_wright@outlook.com,2018-03-01T01:02:55.962+04:00,Chevrolet,Monte Carlo,30484.33991
Mary,Jackson,mary_jackson@gmail.com,2014-04-12T01:09:46.902+04:00,Pontiac,Torrent,67127.90911
Steven,Flores,s.d.flores@live.com,2015-09-17T06:09:53.821+04:00,Plymouth,Grand Voyager,36212.26508
Michelle,Cooper,michelle.cooper@ymail.com,2011-05-27T06:49:57.553+04:00,Chevrolet,SSR,3903.379981
Andrew,Flores,aflores@aol.com,2013-03-09T00:37:01.684+04:00,Toyota,Supra,10894.64467
Richard,Clark,r.f.clark@outlook.com,2013-03-10T05:35:35.609+04:00,Hyundai,Genesis,2618.624707
Nathan,Rogers,nrogers@hotmail.com,2019-02-09T12:11:33.974+04:00,Dodge,Journey,914.4945347
Michael,Parker,m.c.parker@gmail.com,2012-06-29T20:40:40.005+04:00,Scion,tC,72161.62555
Henry,Scott,henry.scott19@yahoo.com,2011-09-08T09:33:26.120+04:00,Nissan,350Z,61626.01883
Heather,Thompson,h_thompson@live.com,2015-10-26T18:36:29.643+04:00,GMC,Savana 1500 Cargo,49757.58704
Jeremy,Miller,jeremy_miller@hotmail.com,2020-04-21T23:09:42.951+04:00,Volkswagen,Jetta,30851.15285
Allison,Butler,aj@gmail.com,2015-08-25T15:46:21.465+04:00,Cadillac,Escalade,17821.32358
Justin,Gray,justin@ymail.com,2010-02-16T07:31:56.867+04:00,Ford,Edge,5373.460803
Layla,Mitchell,layla.k.mitchell@gmail.com,2020-10-12T21:58:29.583+04:00,Audi,R8,27014.8497
Amber,Roberts,aroberts@ymail.com,2013-12-21T11:23:31.965+04:00,GMC,Yukon XL 1500,1864.184578
Alyssa,Rivera,alyssa_m_rivera@yahoo.com,2017-01-09T13:17:40.877+04:00,Pontiac,Grand Prix,25722.39442
Mateo,Taylor,mateowayne@hotmail.com,2015-05-20T01:16:14.155+04:00,Chevrolet,Sonic,1374.259144
Laura,Howard,lmhoward@gmail.com,2019-08-31T08:49:21.166+04:00,Honda,Insight,16306.48651
Jonathan,Bailey,j_e@gmail.com,2015-10-19T00:42:37.944+04:00,Ferrari,458 Italia,41964.47731
Elizabeth,Long,elizabeth_long21@aol.com,2013-08-10T13:32:07.823+04:00,Lincoln,Town Car,8318.801556
Alexis,Patterson,ampatterson@aol.com,2013-11-30T00:30:43.458+04:00,Oldsmobile,Cutlass Ciera,13759.62806
Jessica,Kelly,jessica@live.com,2020-01-28T21:01:05.157+04:00,Jaguar,XJ,29061.15941
Kelsey,Edwards,k_edwards@live.com,2010-11-30T11:55:28.813+04:00,Ford,F150 Regular Cab,8276.035199
Ryan,Garcia,r.garcia39@rocketmail.com,2013-06-27T18:05:25.061+04:00,Lexus,LX,30887.15519
Michael,Wilson,michaelwilson@aol.com,2017-07-13T20:04:16.008+04:00,Mercedes-Benz,Sprinter 2500 Passenger,29469.04506
Matthew,Bell,m.w.bell59@ymail.com,2022-08-12T12:45:32.139+04:00,Ford,F350 Crew Cab,38836.66085
Courtney,Patterson,courtney_patterson@hotmail.com,2022-02-22T06:30:53.491+04:00,Lexus,GS,40453.28103
Sofia,Jackson,sofia_k_jackson4@live.com,2014-10-25T04:03:10.523+04:00,Nissan,Xterra,36273.75107
Heather,Scott,h_scott@rocketmail.com,2015-08-08T05:42:24.086+04:00,BMW,X2,7787.434885
Victoria,Collins,vcollins@live.com,2011-10-09T13:20:22.672+04:00,Chevrolet,Malibu,40056.80143
Kaitlyn,Perez,k_perez@ymail.com,2022-06-13T08:37:12.391+04:00,Dodge,Ram 2500 Mega Cab,34095.61598
Robert,Rodriguez,rrodriguez@aol.com,2014-11-30T16:44:37.524+04:00,Lexus,LX,4372.044298
Ryan,Young,ryoung42@rocketmail.com,2011-11-30T15:43:04.742+04:00,Mercedes-Benz,SLC,15741.3758
Danielle,Richardson,daniellerichardson@hotmail.com,2021-07-15T12:43:26.396+04:00,Mercedes-Benz,E-Class,610.1112183
Adam,Reed,a.reed@gmail.com,2019-08-29T10:43:16.027+04:00,Lexus,RX,17810.45872
Anthony,Rodriguez,a_a@rocketmail.com,2018-01-23T18:52:41.257+04:00,Ford,Fusion,55338.40885
Michael,Phillips,michaelphillips@live.com,2017-03-02T20:08:25.621+04:00,Audi,S4,14191.23925
Amber,White,amberannwhite@hotmail.com,2021-11-27T10:28:37.575+04:00,MAZDA,CX-7,50531.57295
Michelle,Martin,mrmartin@gmail.com,2017-03-26T16:56:21.075+04:00,Tesla,Model S,39981.41028
Jose,Hill,josehill@yahoo.com,2012-04-11T13:29:15.943+04:00,BMW,X2,11282.0039
Anthony,Baker,a_baker@live.com,2018-02-20T00:02:06.054+04:00,Nissan,Armada,6747.864139
Aaron,Taylor,a_taylor@aol.com,2018-08-27T03:32:34.512+04:00,BMW,M5,9287.386527
Samantha,Cook,samantha.cook@live.com,2013-06-18T04:47:05.612+04:00,BMW,2 Series,10199.09623
Austin,Davis,austin12@gmail.com,2019-07-19T14:46:09.797+04:00,Mercury,Villager,11170.31066
Daniel,James,daniel.james@yahoo.com,2022-08-03T06:08:34.782+04:00,GMC,Safari Cargo,7464.37921
Austin,Cox,a.j.cox@gmail.com,2011-09-21T00:34:40.259+04:00,Ram,2500 Crew Cab,2408.311512
Victoria,Coleman,victoriacoleman@rocketmail.com,2017-04-17T22:45:25.273+04:00,Chrysler,Concorde,7556.29019
Lillian,Mitchell,l.d.mitchell@rocketmail.com,2017-06-13T10:11:12.113+04:00,INFINITI,Q,7277.044795
Alexander,Russell,alexander_russell@rocketmail.com,2015-03-12T08:14:13.682+04:00,Acura,TL,8882.416175
Kaitlyn,Robinson,k_m_robinson@ymail.com,2012-04-07T19:26:31.008+04:00,Mitsubishi,Endeavor,7524.452121
Timothy,Jackson,t.a.jackson@ymail.com,2016-04-27T07:14:36.282+04:00,Pontiac,Sunfire,13202.94242
Natalie,White,natalie_white@yahoo.com,2019-04-14T06:45:18.445+04:00,BMW,X5 M,20771.03818
Joshua,Brown,joshuaanthony@ymail.com,2017-12-28T11:25:58.343+04:00,Nissan,350Z,63418.63301
